figure,panel,panel_id,source_artifact,expected_sha256,actual_sha256,exists,hash_status,evidence_authority,evidence_id,evidence_registry_status,panel_status,notes
Fig1,c,Fig1c,runs/20260902_boundary_full_grid_1024_population_v1/per_direction_boundary_events.csv,ee33d0927ebbb9953a8e0e3f6c02956ef02cb6570beb3660e03ab172527e897d,ee33d0927ebbb9953a8e0e3f6c02956ef02cb6570beb3660e03ab172527e897d,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,canonical boundary events
Fig1,c,Fig1c,runs/20260902_boundary_full_grid_1024_population_v1/o2m_rank_set_radius_curve.csv,3622652665b30f727258aa0528436e33ab402255e29935dcc8168a32ea5f6b33,3622652665b30f727258aa0528436e33ab402255e29935dcc8168a32ea5f6b33,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,canonical full-grid curve
Fig1,c,Fig1c,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig2,a,Fig2a,results/measurement_validation_20260831/fixed_branch_replay_v1/normalized_perturbation_summary.json,aece532fd9ea842247ed22ea03557e13ece6209144d83f3598beadd38ba0bcfe,aece532fd9ea842247ed22ea03557e13ece6209144d83f3598beadd38ba0bcfe,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,PASS,fixed endpoint estimates
Fig2,a,Fig2a,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,PASS,equivalent-side endpoint estimates
Fig2,b,Fig2b,results/stress_contract_sensitivity_20260829/frozen_matrix/stress_contract_sensitivity.json,1776ecbdff504d1e77e8842cc11d6513511470e7214d3fe846a5a1b4207e6601,1776ecbdff504d1e77e8842cc11d6513511470e7214d3fe846a5a1b4207e6601,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,PASS,PASS,kappa by dataset estimates
Fig2,b,Fig2b,results/stress_contract_sensitivity_20260829/frozen_matrix/kappa_sensitivity_matrix.csv,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,38ee31b39b02f383cba7b816aa3b34fdccc7440d051cb725524bfb879815f0a8,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-KAPPA-DATASET-V1,PASS,PASS,tested kappa matrix
Fig2,c,Fig2c,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_trajectory.csv,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,3cb0c2d4bce8ca85d458a69a063c241457a72244feafa82465bf4ceaf1705aa9,True,PASS,final_evidence_v3,EV-LEARNING-DYNAMICS-V1,PASS,PASS,archived-stage estimates
Fig2,d,Fig2d,results/reviewer_controls_20260829/formal_s0e300_k00625/normalized_perturbation_summary.json,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,5d09278684cf683a8b6227b7e792f162f01f3e65718327b6cf51e0fdc669b37b,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,PASS,equivalent-side endpoint estimates
Fig2,d,Fig2d,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/normalized_perturbation_summary.json,ca344ce4f99d92d4654b65c1c1e97818bf385f9d3a57695bc3e37d6f4af275eb,ca344ce4f99d92d4654b65c1c1e97818bf385f9d3a57695bc3e37d6f4af275eb,True,PASS,final_evidence_v3,EV-YOLOV10-NORMALIZED-V1,PASS,PASS,YOLOv10-S estimates
Fig2,d,Fig2d,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/manifest.json,c1e14e823fabfef6f8b6847c158b0da829f12d9e41ea7b4251e4c6ec8215270f,c1e14e823fabfef6f8b6847c158b0da829f12d9e41ea7b4251e4c6ec8215270f,True,PASS,final_evidence_v3,EV-YOLOV10-NORMALIZED-V1,PASS,PASS,YOLOv10-S contract
Fig3,a,Fig3a,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,dd01d94b093cf078ac22609e0066bfe1d3edab014c5c742c7231e26f7a5908df,True,PASS,final_evidence_v3,EV-ELIGIBILITY-LOCK-V1,PASS,PASS,eligibility-lock estimates
Fig3,b,Fig3b,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,27c12ddde8d15d144f7167f9fcc2f187b32dafb5cc5ccc9157c36ce0e2d750e7,True,PASS,final_evidence_v3,EV-ELIGIBILITY-STABLE-V2,PASS,PASS,eligibility-stable subset
Fig3,c,Fig3c,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,ca23d877b18858bf2b8024cb280c0a91f5db47756cfb9057cfc9bcaa762ae2dd,True,PASS,final_evidence_v3,EV-PATHWAY-ANATOMY-V2,PASS,WARN,exclusive first-observed labels
Fig3,c,Fig3c,runs/20260901_first_divergence_cooccurrence_v1/summary.json,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,72c5ea1adbc8207f23d1cd3caf0d61c66f66c188e150af164704f05d29a6430b,True,PASS,SOURCE_ADDENDUM,ADD-FIG-COOCCURRENCE-V1,SOURCE_ADDENDUM,WARN,non-exclusive any-stage summary
Fig3,c,Fig3c,runs/20260901_first_divergence_cooccurrence_v1/cooccurrence.csv,9eb9b9e02d8f8122ea9e81546b8ebc40bd5e5174d53403f87e04098c1c4503b0,9eb9b9e02d8f8122ea9e81546b8ebc40bd5e5174d53403f87e04098c1c4503b0,True,PASS,SOURCE_ADDENDUM,ADD-FIG-COOCCURRENCE-V1,SOURCE_ADDENDUM,WARN,non-exclusive any-stage rows
Fig3,d,Fig3d,runs/20260831T163900_preresolution_fixed_v1/artifact/summary.json,964fc7b08e1edee1adc870cfa93d6b02f34f299d3022f311ad213a11288d8526,964fc7b08e1edee1adc870cfa93d6b02f34f299d3022f311ad213a11288d8526,True,PASS,final_evidence_v3,EV-PRERESOLUTION-FIXED-V1,PASS,PASS,fixed pre-resolution control
Fig3,d,Fig3d,runs/20260831T164000_preresolution_normalized_v1/artifact/summary.json,6fa33d8c15749f526a64efe58fb477d5cb860c863d7774f05ff6e157935b0c80,6fa33d8c15749f526a64efe58fb477d5cb860c863d7774f05ff6e157935b0c80,True,PASS,final_evidence_v3,EV-PRERESOLUTION-NORMALIZED-V1,PASS,PASS,equivalent-side pre-resolution control
Fig4,a,Fig4a,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,KM and Aalen-Johansen estimates
Fig4,a,Fig4a,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig4,b,Fig4b,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,KM and Aalen-Johansen estimates
Fig4,b,Fig4b,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig4,c,Fig4c,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rmsr.csv,58505fa4a2ce39bbfb86bf7de769b63b35f4c003bc11898317b7c116933fe725,58505fa4a2ce39bbfb86bf7de769b63b35f4c003bc11898317b7c116933fe725,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD absolute estimates
Fig4,c,Fig4c,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rmsr_contrasts.csv,9a0ad9465f0573b46c366231b14784f467579d68d2de96fdc5f01b1f10cb5027,9a0ad9465f0573b46c366231b14784f467579d68d2de96fdc5f01b1f10cb5027,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .125
Fig4,c,Fig4c,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_00500/rmsr_contrasts.csv,f916abd6a835ce09047dec2628d3597eb06ba13a31ae96428be53d67dfa94dee,f916abd6a835ce09047dec2628d3597eb06ba13a31ae96428be53d67dfa94dee,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .05
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_00625/rmsr_contrasts.csv,1be655cbe4b74aa55741ea09ac8e720d7d28bdf10e92cd07bf42c134871e5af1,1be655cbe4b74aa55741ea09ac8e720d7d28bdf10e92cd07bf42c134871e5af1,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .0625
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01000/rmsr_contrasts.csv,ada6e5f87a6343e8b261e5e21372c9a0e124eb20b7bf7c083312acf231273498,ada6e5f87a6343e8b261e5e21372c9a0e124eb20b7bf7c083312acf231273498,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .10
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rmsr_contrasts.csv,9a0ad9465f0573b46c366231b14784f467579d68d2de96fdc5f01b1f10cb5027,9a0ad9465f0573b46c366231b14784f467579d68d2de96fdc5f01b1f10cb5027,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .125
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_02000/rmsr_contrasts.csv,7a20f920d38e312b62ac57e9e55be85cdc6e11b232c6d568e0d171b232dc3af3,7a20f920d38e312b62ac57e9e55be85cdc6e11b232c6d568e0d171b232dc3af3,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .20
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_02500/rmsr_contrasts.csv,1aa4a5fc47c80230f93fe3a78b6b467a702e8336e657a2728394d7d2813fae92,1aa4a5fc47c80230f93fe3a78b6b467a702e8336e657a2728394d7d2813fae92,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,RMCBD contrasts at tau .25
Fig4,d,Fig4d,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig5,a,Fig5a,manuscript/content/methods.tex,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,84918970a1f7209c8ea19aeeeca7573af95e2575ba1c1a4e36e7f6b0da064b67,True,PASS,CONTRACT_SOURCE,,CONTRACT_SOURCE,PASS,method definition
Fig5,a,Fig5a,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,True,PASS,final_evidence_v3,EV-RANK-SET-FIXED-V1,PASS,PASS,fixed Rank-Set metrics
Fig5,a,Fig5a,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,True,PASS,final_evidence_v3,EV-RANK-SET-NORMALIZED-V1,PASS,PASS,equivalent-side Rank-Set metrics
Fig5,b,Fig5b,runs/20260831T161235_rank_set_fixed_v1/artifact/rank_set_summary.json,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,649627210a886208014733f881429f6572f414d306bb051fe52c6ef2758ed4b4,True,PASS,final_evidence_v3,EV-RANK-SET-FIXED-V1,PASS,PASS,fixed Rank-Set metrics
Fig5,b,Fig5b,runs/20260831T162551_rank_set_normalized_v1/artifact/rank_set_summary.json,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,7f1a83d6b538143dbf1ff38b8deecc7627795298d73733a72abfd4b7e102b11d,True,PASS,final_evidence_v3,EV-RANK-SET-NORMALIZED-V1,PASS,PASS,equivalent-side Rank-Set metrics
Fig5,c,Fig5c,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/summary.json,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,True,PASS,final_evidence_v4,EV-POSITIVE-COUNT-THREE-STAGE-V1,PASS,PASS,three-stage positive-count decomposition
Fig5,c,Fig5c,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,True,PASS,final_evidence_v4,EV-POSITIVE-COUNT-THREE-STAGE-V1,PASS,PASS,positive-count distribution
Fig5,d,Fig5d,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/summary.json,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,True,PASS,final_evidence_v4,EV-POSITIVE-COUNT-THREE-STAGE-V1,PASS,PASS,three-stage positive-count decomposition
Fig5,d,Fig5d,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,True,PASS,final_evidence_v4,EV-POSITIVE-COUNT-THREE-STAGE-V1,PASS,PASS,positive-count distribution
Fig6,a,Fig6a,runs/20260902_boundary_full_grid_1024_population_v1/per_direction_boundary_events.csv,ee33d0927ebbb9953a8e0e3f6c02956ef02cb6570beb3660e03ab172527e897d,ee33d0927ebbb9953a8e0e3f6c02956ef02cb6570beb3660e03ab172527e897d,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,canonical boundary events
Fig6,a,Fig6a,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,True,PASS,final_evidence_v3,EV-MARGIN-RHOR-CONSTRUCT-V3,PASS,PASS,conditional margin associations
Fig6,a,Fig6a,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig6,b,Fig6b,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/rho_R_status.csv,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,852482d938a5c10e61834a3327d342a5b6134b42b895cc291066bc7d45c43bab,True,PASS,final_evidence_v3_bound_output,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,rank-crossing status composition
Fig6,b,Fig6b,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig6,c,Fig6c,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/margin_construct.csv,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,e818cfd5a12b167b8aea1f174368a5d2f1457fa84a31251a6b4d03c6b565ea22,True,PASS,final_evidence_v3,EV-MARGIN-RHOR-CONSTRUCT-V3,PASS,PASS,conditional margin associations
Fig6,c,Fig6c,runs/20260903_boundary_full_grid_1024_postprocess_v2/TERMINAL_VALIDATION.json,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,a7982e8dc8c6af78fd51faca6c1ab4f7232f99eef10e09eacf242dba1dd8d80d,True,PASS,final_evidence_v3,EV-BOUNDARY-GEOMETRY-V3,PASS,PASS,terminal binding manifest
Fig6,d,Fig6d,results/reviewer_controls_20260829/formal_s0e300_k00625/incremental_value_summary_foldwise.json,0f555db9c5e1ecf3d738607551d45beb75f6f0a6f3e0820683b27d9aa5b32a88,0f555db9c5e1ecf3d738607551d45beb75f6f0a6f3e0820683b27d9aa5b32a88,True,PASS,SOURCE_ADDENDUM,ADD-FIG-INCREMENTAL-VALUE-V1,SOURCE_ADDENDUM,WARN,AI-TOD-v2 held-out increment
Fig6,d,Fig6d,results/reviewer_controls_20260829/vis_b4e150_equiv_k00625/incremental_value_summary_foldwise.json,8227b831cfe73cc3533ae1b953e21e62c138e5f9205b35e54eba38c38371ed5c,8227b831cfe73cc3533ae1b953e21e62c138e5f9205b35e54eba38c38371ed5c,True,PASS,SOURCE_ADDENDUM,ADD-FIG-INCREMENTAL-VALUE-V1,SOURCE_ADDENDUM,WARN,VisDrone held-out increment
FigS1,,FigS1,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,primary-checkpoint qualitative candidate trace
FigS1,,FigS1,figures_final/source_data/figs1_primary_trace/validation.json,ad0f2731de4a24caac1328d5d7be98122bfb5bebfb953080960e7a4e96571960,ad0f2731de4a24caac1328d5d7be98122bfb5bebfb953080960e7a4e96571960,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,primary-checkpoint trace validation
FigS1,,FigS1,figures_final/source_data/figs1_primary_trace/0000170_00401_d_0000001__160_0.png,a0a38c98f96b9b5bd93f14464944ba19320c1ed8b0db49036d4b0eda680f43fa,a0a38c98f96b9b5bd93f14464944ba19320c1ed8b0db49036d4b0eda680f43fa,True,PASS,SOURCE_ADDENDUM,ADD-FIG-S1-PRIMARY-TRACE-V1,SOURCE_ADDENDUM,WARN,real AI-TOD-v2 source image
FigS1,,FigS1,results/measurement_validation_20260831/fixed_branch_replay_v1/per_direction.csv,930a50dadb0abdfdcede0de344cb93ed2f68c0c5a4c1f183a2f70ddde8be87f8,930a50dadb0abdfdcede0de344cb93ed2f68c0c5a4c1f183a2f70ddde8be87f8,True,PASS,final_evidence_v3,EV-STRESS-CONTRACT-PRIMARY-V1,PASS,WARN,frozen fixed-pixel replay identities
